Year,Month,V139,V140,V146,V147,V148,V149,V150,V153,V154,V155,V156,V157,V158,V159,V160,V161
1950,1,13,21,13,23,14,25,30,24,17,18,20,22,14,0,14,21
1950,2,3,10,13,10,0,0,24,0,0,0,0,0,0,1,0,7
1950,3,0,0,0,0,0,0,3,9,0,3,2,7,23,0,0,0
1950,4,0,0,0,0,0,0,100,100,100,100,100,0,0,0,0,0
1950,5,0,0,0,0,0,0,100,100,100,100,100,0,0,0,0,0
1950,6,0,0,0,0,0,0,100,100,100,100,100,0,0,0,0,0
1950,7,8,4,6,9,8,10,100,100,100,100,100,0,0,0,0,0
1950,8,4,2,0,6,0,0,100,100,100,100,100,0,0,0,0,0
1950,9,0,0,0,0,0,0,100,100,100,100,100,0,0,0,0,0
1950,10,0,0,0,0,0,0,100,100,100,100,100,0,0,0,0,0
1950,11,0,0,0,0,0,0,100,100,100,100,100,0,0,0,0,0
1950,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1951,1,18,8,18,20,0,21,0,0,10,20,16,18,17,17,21,17
1951,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1951,3,0,0,0,0,0,0,23,0,0,17,20,20,8,2,0,0
1951,4,0,0,0,0,0,0,8,9,8,0,17,0,8,0,0,0
1951,5,0,0,9,6,0,0,0,0,0,0,17,0,25,0,0,0
1951,6,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0
1951,7,0,0,0,0,0,0,10,0,0,17,0,0,0,0,0,0
1951,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1951,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1951,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1951,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1951,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
